techs,cost_flow_cap_per_distance
LVEtransmission899_to_LVEtransmission614_electricity,100
LVEtransmission677_to_LVEtransmission367_electricity,100
LVEtransmission367_to_LVEtransmission409_electricity,100
LVEtransmission409_to_LVEtransmission784_electricity,100
LVEtransmission784_to_LVEtransmission907_electricity,100
LVEtransmission907_to_LVEtransmission469_electricity,100
LVEtransmission469_to_LVEtransmission587_electricity,100
LVEtransmission587_to_LVEtransmission290_electricity,100
LVEtransmission290_to_LVEtransmission337_electricity,100
LVEtransmission337_to_LVEtransmission988_electricity,100
LVEtransmission988_to_LVEtransmission550_electricity,100
LVEtransmission550_to_LVEtransmission325_electricity,100
LVEtransmission325_to_LVEtransmission364_electricity,100
LVEtransmission364_to_LVEtransmission412_electricity,100
LVEtransmission412_to_LVEtransmission729_electricity,100
LVEtransmission729_to_LVEtransmission914_electricity,100
LVEtransmission914_to_LVEtransmission464_electricity,100
LVEtransmission464_to_LVEtransmission161_electricity,100
LVEtransmission161_to_LVEtransmission705_electricity,100
LVEtransmission705_to_LVEtransmission396_electricity,100
LVEtransmission396_to_LVEtransmission471_electricity,100
LVEtransmission471_to_LVEtransmission1048_electricity,100
LVEtransmission1048_to_LVEtransmission989_electricity,100
LVEtransmission989_to_LVEtransmission518_electricity,100
LVEtransmission518_to_LVEtransmission931_electricity,100
LVEtransmission931_to_LVEtransmission818_electricity,100
LVEtransmission818_to_LVEtransmission349_electricity,100
LVEtransmission349_to_LVEtransmission365_electricity,100
LVEtransmission365_to_LVEtransmission338_electricity,100
LVEtransmission338_to_LVEtransmission218_electricity,100
LVEtransmission218_to_LVEtransmission891_electricity,100
LVEtransmission891_to_LVEtransmission252_electricity,100
LVEtransmission252_to_LVEtransmission99_electricity,100
LVEtransmission99_to_LVEtransmission715_electricity,100
LVEtransmission715_to_LVEtransmission575_electricity,100
LVEtransmission575_to_LVEtransmission1019_electricity,100
LVEtransmission1019_to_LVEtransmission565_electricity,100
LVEtransmission565_to_LVEtransmission176_electricity,100
LVEtransmission176_to_LVEtransmission132_electricity,100
LVEtransmission132_to_LVEtransmission564_electricity,100
LVEtransmission564_to_LVEtransmission744_electricity,100
LVEtransmission744_to_LVEtransmission975_electricity,100
LVEtransmission975_to_LVEtransmission992_electricity,100
LVEtransmission992_to_LVEtransmission672_electricity,100
LVEtransmission672_to_LVEtransmission606_electricity,100
LVEtransmission606_to_LVEtransmission178_electricity,100
LVEtransmission178_to_LVEtransmission993_electricity,100
LVEtransmission993_to_LVEtransmission148_electricity,100
LVEtransmission148_to_LVEtransmission98_electricity,100
LVEtransmission98_to_LVEtransmission51_electricity,100
LVEtransmission51_to_LVEtransmission540_electricity,100
LVEtransmission540_to_LVEtransmission123_electricity,100
LVEtransmission123_to_LVEtransmission450_electricity,100
LVEtransmission450_to_LVEtransmission1042_electricity,100
LVEtransmission1042_to_LVEtransmission144_electricity,100
LVEtransmission144_to_LVEtransmission751_electricity,100
LVEtransmission751_to_LVEtransmission437_electricity,100
LVEtransmission437_to_LVEtransmission1020_electricity,100
LVEtransmission1020_to_LVEtransmission632_electricity,100
LVEtransmission632_to_LVEtransmission674_electricity,100
