techs,color,name,base_tech,flow_cap_max,flow_out_eff_per_distance,lifetime,link_to,link_from
LQHtransmission336_to_LQHtransmission122_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission122,LQHtransmission336
LQHtransmission122_to_LQHtransmission476_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission476,LQHtransmission122
LQHtransmission476_to_LQHtransmission156_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission156,LQHtransmission476
LQHtransmission156_to_LQHtransmission824_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission824,LQHtransmission156
LQHtransmission824_to_LQHtransmission308_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission308,LQHtransmission824
LQHtransmission308_to_LQHtransmission761_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission761,LQHtransmission308
LQHtransmission761_to_LQHtransmission357_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission357,LQHtransmission761
LQHtransmission357_to_LQHtransmission189_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission189,LQHtransmission357
LQHtransmission189_to_LQHtransmission819_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission819,LQHtransmission189
LQHtransmission819_to_LQHtransmission667_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission667,LQHtransmission819
LQHtransmission101_to_LQHtransmission104_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission104,LQHtransmission101
LQHtransmission426_to_LQHtransmission719_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission719,LQHtransmission426
LQHtransmission719_to_LQHtransmission194_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission194,LQHtransmission719
LQHtransmission194_to_LQHtransmission378_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission378,LQHtransmission194
LQHtransmission378_to_LQHtransmission101_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission101,LQHtransmission378
LQHtransmission257_to_LQHtransmission461_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission461,LQHtransmission257
LQHtransmission461_to_LQHtransmission805_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission805,LQHtransmission461
LQHtransmission805_to_LQHtransmission58_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission58,LQHtransmission805
LQHtransmission58_to_LQHtransmission85_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission85,LQHtransmission58
LQHtransmission85_to_LQHtransmission599_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission599,LQHtransmission85
LQHtransmission599_to_LQHtransmission187_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission187,LQHtransmission599
LQHtransmission187_to_LQHtransmission652_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission652,LQHtransmission187
LQHtransmission652_to_LQHtransmission538_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission538,LQHtransmission652
LQHtransmission538_to_LQHtransmission315_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission315,LQHtransmission538
LQHtransmission315_to_LQHtransmission164_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission164,LQHtransmission315
LQHtransmission164_to_LQHtransmission220_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission220,LQHtransmission164
LQHtransmission220_to_LQHtransmission53_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission53,LQHtransmission220
LQHtransmission53_to_LQHtransmission670_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission670,LQHtransmission53
LQHtransmission670_to_LQHtransmission448_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission448,LQHtransmission670
LQHtransmission448_to_LQHtransmission7_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission7,LQHtransmission448
LQHtransmission7_to_LQHtransmission539_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission539,LQHtransmission7
LQHtransmission539_to_LQHtransmission765_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission765,LQHtransmission539
LQHtransmission765_to_LQHtransmission46_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission46,LQHtransmission765
LQHtransmission46_to_LQHtransmission424_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission424,LQHtransmission46
LQHtransmission424_to_LQHtransmission811_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission811,LQHtransmission424
LQHtransmission811_to_LQHtransmission251_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission251,LQHtransmission811
LQHtransmission251_to_LQHtransmission807_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission807,LQHtransmission251
LQHtransmission807_to_LQHtransmission822_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission822,LQHtransmission807
LQHtransmission822_to_LQHtransmission752_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission752,LQHtransmission822
LQHtransmission752_to_LQHtransmission692_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission692,LQHtransmission752
LQHtransmission692_to_LQHtransmission855_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission855,LQHtransmission692
LQHtransmission855_to_LQHtransmission328_heat,#823740,LQ heat distribution main,transmission,100000,1,20,LQHtransmission328,LQHtransmission855
