techs,carrier_out,carrier_in
transmission1173_to_transmission1328_heat,1,1
transmission1328_to_transmission5_heat,1,1
transmission5_to_transmission776_heat,1,1
transmission776_to_transmission2273_heat,1,1
transmission2273_to_transmission1124_heat,1,1
transmission1124_to_transmission1551_heat,1,1
transmission1551_to_transmission1928_heat,1,1
transmission1928_to_transmission2422_heat,1,1
transmission2422_to_transmission208_heat,1,1
transmission208_to_transmission2673_heat,1,1
transmission2673_to_transmission2125_heat,1,1
transmission2125_to_transmission1047_heat,1,1
transmission1047_to_transmission445_heat,1,1
transmission445_to_transmission2904_heat,1,1
transmission2904_to_transmission715_heat,1,1
transmission1089_to_transmission2657_heat,1,1
transmission2657_to_transmission2310_heat,1,1
transmission2310_to_transmission760_heat,1,1
transmission760_to_transmission431_heat,1,1
transmission431_to_transmission2072_heat,1,1
transmission835_to_transmission1186_heat,1,1
transmission1186_to_transmission2592_heat,1,1
transmission2592_to_transmission388_heat,1,1
transmission388_to_transmission1114_heat,1,1
transmission1114_to_transmission2799_heat,1,1
transmission2799_to_transmission2835_heat,1,1
transmission2835_to_transmission976_heat,1,1
transmission976_to_transmission2671_heat,1,1
transmission2671_to_transmission875_heat,1,1
transmission875_to_transmission458_heat,1,1
transmission458_to_transmission446_heat,1,1
transmission446_to_transmission339_heat,1,1
transmission339_to_transmission554_heat,1,1
transmission554_to_transmission2111_heat,1,1
transmission2111_to_transmission1239_heat,1,1
transmission1239_to_transmission2687_heat,1,1
transmission2687_to_transmission1619_heat,1,1
transmission1619_to_transmission1668_heat,1,1
transmission1668_to_transmission1260_heat,1,1
transmission1260_to_transmission2441_heat,1,1
transmission2441_to_transmission873_heat,1,1
transmission873_to_transmission423_heat,1,1
transmission423_to_transmission1836_heat,1,1
transmission1836_to_transmission397_heat,1,1
transmission397_to_transmission698_heat,1,1
transmission698_to_transmission1764_heat,1,1
transmission1764_to_transmission1017_heat,1,1
transmission2561_to_transmission700_heat,1,1
transmission700_to_transmission164_heat,1,1
transmission164_to_transmission1307_heat,1,1
transmission1307_to_transmission1065_heat,1,1
transmission1065_to_transmission678_heat,1,1
transmission678_to_transmission18_heat,1,1
transmission18_to_transmission2658_heat,1,1
transmission2658_to_transmission331_heat,1,1
transmission331_to_transmission2614_heat,1,1
transmission240_to_transmission2121_heat,1,1
transmission2121_to_transmission1270_heat,1,1
transmission1270_to_transmission663_heat,1,1
transmission663_to_transmission295_heat,1,1
transmission295_to_transmission821_heat,1,1
transmission821_to_transmission68_heat,1,1
transmission68_to_transmission1725_heat,1,1
transmission1725_to_transmission2494_heat,1,1
transmission2494_to_transmission911_heat,1,1
transmission911_to_transmission1159_heat,1,1
transmission1159_to_transmission400_heat,1,1
transmission400_to_transmission94_heat,1,1
transmission94_to_transmission2806_heat,1,1
transmission2806_to_transmission920_heat,1,1
transmission920_to_transmission2160_heat,1,1
transmission2160_to_transmission221_heat,1,1
transmission221_to_transmission769_heat,1,1
transmission769_to_transmission1701_heat,1,1
transmission1701_to_transmission718_heat,1,1
transmission718_to_transmission2371_heat,1,1
transmission2287_to_transmission1391_heat,1,1
transmission1391_to_transmission1216_heat,1,1
transmission1216_to_transmission1355_heat,1,1
transmission1355_to_transmission15_heat,1,1
transmission15_to_transmission2145_heat,1,1
transmission2145_to_transmission1330_heat,1,1
transmission1330_to_transmission2661_heat,1,1
transmission2661_to_transmission138_heat,1,1
transmission138_to_transmission1589_heat,1,1
transmission1589_to_transmission693_heat,1,1
transmission693_to_transmission2780_heat,1,1
transmission2780_to_transmission264_heat,1,1
transmission264_to_transmission608_heat,1,1
transmission608_to_transmission2767_heat,1,1
transmission2767_to_transmission1705_heat,1,1
transmission1705_to_transmission1309_heat,1,1
transmission1309_to_transmission62_heat,1,1
transmission62_to_transmission2590_heat,1,1
transmission2590_to_transmission69_heat,1,1
transmission637_to_transmission2104_heat,1,1
transmission2104_to_transmission2842_heat,1,1
transmission2842_to_transmission189_heat,1,1
transmission189_to_transmission1547_heat,1,1
transmission1547_to_transmission1145_heat,1,1
transmission1145_to_transmission2652_heat,1,1
transmission2652_to_transmission1079_heat,1,1
transmission1079_to_transmission618_heat,1,1
transmission618_to_transmission2589_heat,1,1
transmission2589_to_transmission545_heat,1,1
transmission545_to_transmission126_heat,1,1
transmission126_to_transmission2113_heat,1,1
transmission2113_to_transmission1984_heat,1,1
transmission1984_to_transmission43_heat,1,1
transmission43_to_transmission1627_heat,1,1
transmission1627_to_transmission2014_heat,1,1
transmission2014_to_transmission1313_heat,1,1
transmission1313_to_transmission1126_heat,1,1
transmission1126_to_transmission2202_heat,1,1
transmission2202_to_transmission1141_heat,1,1
transmission1141_to_transmission2782_heat,1,1
transmission2782_to_transmission1996_heat,1,1
transmission1996_to_transmission2178_heat,1,1
transmission2178_to_transmission888_heat,1,1
transmission1115_to_transmission702_heat,1,1
transmission702_to_transmission1598_heat,1,1
transmission1598_to_transmission1552_heat,1,1
transmission1552_to_transmission482_heat,1,1
transmission2561_to_transmission1500_heat,1,1
transmission1500_to_transmission1756_heat,1,1
transmission1756_to_transmission111_heat,1,1
transmission111_to_transmission2243_heat,1,1
transmission2243_to_transmission2218_heat,1,1
transmission2218_to_transmission544_heat,1,1
transmission544_to_transmission1997_heat,1,1
transmission1997_to_transmission696_heat,1,1
transmission696_to_transmission2824_heat,1,1
transmission2824_to_transmission2771_heat,1,1
transmission2771_to_transmission770_heat,1,1
transmission770_to_transmission1957_heat,1,1
transmission1957_to_transmission2836_heat,1,1
transmission2836_to_transmission1761_heat,1,1
transmission1761_to_transmission146_heat,1,1
transmission146_to_transmission2371_heat,1,1
transmission2781_to_transmission2325_heat,1,1
transmission2325_to_transmission2061_heat,1,1
transmission2061_to_transmission72_heat,1,1
transmission72_to_transmission87_heat,1,1
transmission87_to_transmission116_heat,1,1
transmission116_to_transmission1118_heat,1,1
transmission1118_to_transmission830_heat,1,1
transmission830_to_transmission45_heat,1,1
transmission45_to_transmission924_heat,1,1
transmission924_to_transmission1985_heat,1,1
transmission1985_to_transmission290_heat,1,1
transmission290_to_transmission1206_heat,1,1
transmission1206_to_transmission1655_heat,1,1
transmission1655_to_transmission464_heat,1,1
transmission464_to_transmission1654_heat,1,1
transmission1654_to_transmission187_heat,1,1
transmission187_to_transmission114_heat,1,1
transmission114_to_transmission1537_heat,1,1
transmission1537_to_transmission518_heat,1,1
transmission518_to_transmission1934_heat,1,1
transmission1934_to_transmission2774_heat,1,1
transmission2774_to_transmission86_heat,1,1
transmission86_to_transmission1871_heat,1,1
transmission1871_to_transmission1437_heat,1,1
transmission1437_to_transmission1624_heat,1,1
transmission1624_to_transmission1774_heat,1,1
