geometry,lat,lon,id
POINT (4.3560609 51.9942612),51.9942612,4.3560609,transmission170
POINT (4.3581174 51.9918633),51.9918633,4.3581174,transmission171
POINT (4.355556 51.9950905),51.9950905,4.355556,transmission172
POINT (4.3566519 51.9965341),51.9965341,4.3566519,transmission173
POINT (4.3621376 51.9938602),51.9938602,4.3621376,transmission174
POINT (4.3571392 51.9958168),51.9958168,4.3571392,transmission175
POINT (4.3577244 51.9910552),51.9910552,4.3577244,transmission176
POINT (4.3553848 51.9957047),51.9957047,4.3553848,transmission177
POINT (4.3563418 51.994833),51.994833,4.3563418,transmission178
POINT (4.3595273 51.994044),51.994044,4.3595273,transmission179
POINT (4.3576893 51.9965829),51.9965829,4.3576893,transmission180
POINT (4.3555193 51.9945145),51.9945145,4.3555193,transmission181
POINT (4.3585662 51.9906077),51.9906077,4.3585662,transmission182
POINT (4.3576959 51.9914936),51.9914936,4.3576959,transmission183
POINT (4.3569415 51.9944051),51.9944051,4.3569415,transmission184
POINT (4.3562714 51.9940355),51.9940355,4.3562714,transmission185
POINT (4.3585299 51.9950879),51.9950879,4.3585299,transmission186
POINT (4.3606644 51.9928932),51.9928932,4.3606644,transmission187
POINT (4.3585567 51.9942169),51.9942169,4.3585567,transmission188
POINT (4.3602452 51.9942245),51.9942245,4.3602452,transmission189
POINT (4.3602116 51.9951984),51.9951984,4.3602116,transmission190
POINT (4.356085 51.9949005),51.9949005,4.356085,transmission191
POINT (4.3603745 51.9962756),51.9962756,4.3603745,transmission192
POINT (4.3599303 51.9940929),51.9940929,4.3599303,transmission193
POINT (4.3582711 51.9904099),51.9904099,4.3582711,transmission194
POINT (4.3585247 51.9939417),51.9939417,4.3585247,transmission195
POINT (4.3568716 51.994531),51.994531,4.3568716,transmission196
POINT (4.3625841 51.9922353),51.9922353,4.3625841,transmission197
POINT (4.3583689 51.9908714),51.9908714,4.3583689,transmission198
POINT (4.3581324 51.9930145),51.9930145,4.3581324,transmission199
POINT (4.3573168 51.9924807),51.9924807,4.3573168,transmission200
POINT (4.3587578 51.9906585),51.9906585,4.3587578,transmission201
POINT (4.3602605 51.996769),51.996769,4.3602605,transmission202
POINT (4.3606286 51.9929746),51.9929746,4.3606286,transmission203
POINT (4.3604579 51.996809),51.996809,4.3604579,transmission204
POINT (4.3606555 51.9929161),51.9929161,4.3606555,transmission205
POINT (4.3598127 51.9934616),51.9934616,4.3598127,transmission206
POINT (4.3625061 51.9935748),51.9935748,4.3625061,transmission207
POINT (4.3621319 51.9920651),51.9920651,4.3621319,transmission208
POINT (4.3608398 51.9934883),51.9934883,4.3608398,transmission209
POINT (4.3553593 51.9953089),51.9953089,4.3553593,transmission210
POINT (4.3581977 51.9928169),51.9928169,4.3581977,transmission211
POINT (4.3589589 51.9956613),51.9956613,4.3589589,transmission212
POINT (4.3603163 51.9935036),51.9935036,4.3603163,transmission213
POINT (4.3615572 51.9912351),51.9912351,4.3615572,transmission214
POINT (4.3630212 51.9914004),51.9914004,4.3630212,transmission215
POINT (4.3610327 51.9927955),51.9927955,4.3610327,transmission216
POINT (4.3626317 51.9921509),51.9921509,4.3626317,transmission217
POINT (4.3599013 51.9912813),51.9912813,4.3599013,transmission218
POINT (4.3589064 51.9905534),51.9905534,4.3589064,transmission219
POINT (4.3604619 51.9961212),51.9961212,4.3604619,transmission220
POINT (4.3568751 51.9958855),51.9958855,4.3568751,transmission221
POINT (4.3620852 51.9929747),51.9929747,4.3620852,transmission222
POINT (4.3591223 51.9962896),51.9962896,4.3591223,transmission223
POINT (4.3584813 51.9901471),51.9901471,4.3584813,transmission224
POINT (4.3607941 51.9915771),51.9915771,4.3607941,transmission225
POINT (4.3588899 51.9932022),51.9932022,4.3588899,transmission226
POINT (4.362053 51.9913086),51.9913086,4.362053,transmission227
POINT (4.3602053 51.99471),51.99471,4.3602053,transmission228
POINT (4.362146 51.9924706),51.9924706,4.362146,transmission229
