results_summary_supply_geothermal_capacity_adjusted_kW,run_id,result_type,combined_energy_supply_kW,technology_parameters_heat_pump_cop,results_summary_heat_pump_capacity_kW,topology_source,scenario,results_summary_total_heat_demand_kW,geothermal_heat_div_cop,year,neighborhood,lv_electricity_supply
8340.136139849508,20260121_122454,median,290.5211952207786,4.0,150.92949131882045,stedin,hybrid,7520.4576600088,252.73139817725783,2013,poptahofzuid,37.78979704352082
8358.775768509531,20260121_122454,median,291.081525492718,4.0,150.92949131882045,osm,hybrid,7520.4576600088,253.29623540937973,2013,poptahofzuid,37.78529008333828
7314.671305681055,20260121_122454,median,221.65670623275923,4.0,0.0,stedin,district_heating,6416.427858198631,221.65670623275923,2019,poptahofzuid,0.0
7346.585703371824,20260121_122454,median,222.62380919308558,4.0,0.0,osm,district_heating,6416.427858198631,222.62380919308558,2019,poptahofzuid,0.0
,20260121_122454,median,1765.2994837872016,4.0,6416.427858198631,stedin,full_electrification,6416.427858198631,0.0,2019,poptahofzuid,1765.2994837872016
,20260121_122454,median,1708.1731883254192,4.0,6416.427858198631,osm,full_electrification,6416.427858198631,0.0,2019,poptahofzuid,1708.1731883254192
7141.673728031115,20260121_122454,median,247.83127602836083,4.0,125.51586014520342,stedin,hybrid,6416.427858198631,216.41435539488228,2019,poptahofzuid,31.41692063347856
7160.313356691138,20260121_122454,median,248.39774854813237,4.0,125.51586014520342,osm,hybrid,6416.427858198631,216.97919262700418,2019,poptahofzuid,31.4185559211282
6553.200769811618,20260121_122454,median,198.58184150944297,4.0,0.0,stedin,district_heating,5731.1043759161375,198.58184150944297,2020,poptahofzuid,0.0
6585.115167502387,20260121_122454,median,199.54894446976928,4.0,0.0,osm,district_heating,5731.104375916138,199.54894446976928,2020,poptahofzuid,0.0
,20260121_122454,median,1560.796424863226,4.0,5731.104375916138,stedin,full_electrification,5731.104375916138,0.0,2020,poptahofzuid,1560.796424863226
,20260121_122454,median,1515.73210745823,4.0,5731.104375916138,osm,full_electrification,5731.104375916138,0.0,2020,poptahofzuid,1515.73210745823
6394.039692960057,20260121_122454,median,222.05687207913493,4.0,113.06300942666104,stedin,hybrid,5731.104375916138,193.7587785745472,2020,poptahofzuid,28.298093504587733
6412.679321620082,20260121_122454,median,222.6219311927901,4.0,113.06300942666104,osm,hybrid,5731.104375916138,194.32361580666915,2020,poptahofzuid,28.29831538612094
