techs,name,capacity_kw,distance_m,environmental_impact_per_kW,environmental_impact
TH55_TH54_interp_2_to_TH55_TH54_interp_3,Interpolated Heat transmission,140.16047814064478,1.055433255615509,,
TH59_TH58_interp_4_to_TH59_TH58_interp_5,Interpolated Heat transmission,180.27341091941508,0.8420317182173913,,
TH55_TH54_interp_4_to_TH55_TH54_interp_5,Interpolated Heat transmission,150.1725137372049,1.0554332923645107,,
TH57_TH56_interp_9_to_TH57_TH56_interp_10,Interpolated Heat transmission,120.1241337268401,0.9275277328696424,,
TH57_to_TH57_TH56_interp_1,Interpolated Heat transmission,110.1015480676136,0.927527568979265,,
TH58_TH49_interp_10_to_TH49,Interpolated Heat transmission,210.36470632563072,1.3732320668447842,,
TH58_TH49_interp_1_to_TH58_TH49_interp_2,Interpolated Heat transmission,190.3046770166804,1.3732322191683652,,
TH58_TH49_interp_2_to_TH58_TH49_interp_3,Interpolated Heat transmission,190.30995671420902,1.373232202282782,,
TH58_TH49_interp_3_to_TH58_TH49_interp_4,Interpolated Heat transmission,200.3198624046,1.3732321853530531,,
TH58_TH49_interp_4_to_TH58_TH49_interp_5,Interpolated Heat transmission,200.32541995722042,1.3732321684233153,,
TH58_TH49_interp_5_to_TH58_TH49_interp_6,Interpolated Heat transmission,200.3309776639577,1.373232151493551,,
TH58_TH49_interp_6_to_TH58_TH49_interp_7,Interpolated Heat transmission,210.34136302332158,1.3732321338123887,,
TH58_TH49_interp_7_to_TH58_TH49_interp_8,Interpolated Heat transmission,210.34719860615067,1.3732321176783244,,
TH58_TH49_interp_8_to_TH58_TH49_interp_9,Interpolated Heat transmission,210.35303435081005,1.3732321007043378,,
TH58_TH49_interp_9_to_TH58_TH49_interp_10,Interpolated Heat transmission,210.35887025730065,1.3732320846144195,,
TH58_to_TH58_TH49_interp_1,Interpolated Heat transmission,190.299397465559,1.3732322361865332,,
TH59_TH58_interp_10_to_TH58,Interpolated Heat transmission,190.29616024931462,0.8420316572002579,,
TH59_TH58_interp_1_to_TH59_TH58_interp_2,Interpolated Heat transmission,170.26068997171998,0.8420317484164299,,
TH59_TH58_interp_2_to_TH59_TH58_interp_3,Interpolated Heat transmission,170.26358635560044,0.8420317384974007,,
TH59_TH58_interp_3_to_TH59_TH58_interp_4,Interpolated Heat transmission,180.2703442567182,0.842031728180526,,
TH51_TH50_interp_9_to_TH51_TH50_interp_10,Interpolated Heat transmission,360.586532885873,0.9330358947313055,,
