techs,cost_flow_cap_per_distance
LQHtransmission924_to_LQHtransmission895_heat,100
LQHtransmission895_to_LQHtransmission499_heat,100
LQHtransmission499_to_LQHtransmission1793_heat,100
LQHtransmission1793_to_LQHtransmission1403_heat,100
LQHtransmission1403_to_LQHtransmission2049_heat,100
LQHtransmission2049_to_LQHtransmission1611_heat,100
LQHtransmission1611_to_LQHtransmission1726_heat,100
LQHtransmission1726_to_LQHtransmission699_heat,100
LQHtransmission699_to_LQHtransmission1910_heat,100
LQHtransmission1910_to_LQHtransmission154_heat,100
LQHtransmission154_to_LQHtransmission1720_heat,100
LQHtransmission1720_to_LQHtransmission51_heat,100
LQHtransmission51_to_LQHtransmission1206_heat,100
LQHtransmission1206_to_LQHtransmission822_heat,100
LQHtransmission822_to_LQHtransmission1846_heat,100
LQHtransmission1846_to_LQHtransmission1418_heat,100
LQHtransmission1418_to_LQHtransmission823_heat,100
LQHtransmission823_to_LQHtransmission1985_heat,100
LQHtransmission1985_to_LQHtransmission590_heat,100
LQHtransmission590_to_LQHtransmission108_heat,100
LQHtransmission108_to_LQHtransmission1504_heat,100
LQHtransmission1504_to_LQHtransmission1303_heat,100
LQHtransmission1303_to_LQHtransmission696_heat,100
LQHtransmission696_to_LQHtransmission863_heat,100
LQHtransmission863_to_LQHtransmission670_heat,100
LQHtransmission670_to_LQHtransmission1788_heat,100
LQHtransmission1788_to_LQHtransmission1588_heat,100
LQHtransmission938_to_LQHtransmission1445_heat,100
LQHtransmission1445_to_LQHtransmission962_heat,100
LQHtransmission962_to_LQHtransmission1167_heat,100
LQHtransmission1167_to_LQHtransmission932_heat,100
LQHtransmission932_to_LQHtransmission1441_heat,100
LQHtransmission1441_to_LQHtransmission1991_heat,100
LQHtransmission1991_to_LQHtransmission1324_heat,100
LQHtransmission1324_to_LQHtransmission1559_heat,100
LQHtransmission1559_to_LQHtransmission940_heat,100
LQHtransmission940_to_LQHtransmission894_heat,100
LQHtransmission894_to_LQHtransmission228_heat,100
LQHtransmission228_to_LQHtransmission936_heat,100
LQHtransmission936_to_LQHtransmission1097_heat,100
LQHtransmission1097_to_LQHtransmission1818_heat,100
LQHtransmission1818_to_LQHtransmission1193_heat,100
LQHtransmission1193_to_LQHtransmission11_heat,100
LQHtransmission11_to_LQHtransmission1768_heat,100
LQHtransmission1768_to_LQHtransmission185_heat,100
LQHtransmission185_to_LQHtransmission1759_heat,100
