id,Warmtevraag,share,Peak heat demand (kW),lon,lat,addresses,nr_addresses,year_construction
0503100000015305,9773063.624778764,0.0011995543778019191,6.226860295976852,84396.70133333333,445529.0741111111,Multatuliweg 45,1,1966
0503100000015306,12255574.409456344,0.0015042599229648753,7.808580054789239,84422.4058,445532.62240000005,Busken Huetpad 12,1,1966
0503100000015307,10429329.340779172,0.0012801050058192849,6.644996827925019,84364.54357142856,445499.51614285714,Herman Heyermanslaan 9,1,1967
0503100000015312,11688396.51942632,0.0014346440126322161,7.4472054009673325,84424.5508,445526.947,Busken Huetpad 14,1,1966
0503100000015314,12674147.882215753,0.0015556359971374883,8.07527212173398,84373.8536,445634.3348,Betje Wolfflaan 2,1,1966
0503100000015316,10379748.892849244,0.0012740194582723586,6.613406884942465,84414.201,445633.23660000006,Betje Wolfflaan 16,1,1966
0503100000015317,11294419.580340307,0.001386286938517258,7.1961848966798945,84413.8268,445555.322,Busken Huetpad 4,1,1966
0503100000015318,11755701.899553686,0.00144290513386105,7.490088698908639,84377.00779999999,445568.1766,Nicolaas Beetslaan 14,1,1966
0503100000015402,12857984.389186563,0.0015782002508048373,8.192402664433533,84406.3646,445577.4072000001,Nicolaas Beetslaan 24,1,1966
0503100000015404,12939713.713993084,0.0015882317796202118,8.244476109076254,84399.839,445642.63714285713,Betje Wolfflaan 12,1,1966
0503100000015405,12121727.403362194,0.001487831424360933,7.723300081181995,84409.286,445631.61,Betje Wolfflaan 14,1,1966
0503100000015406,11925093.291199347,0.001463696381438251,7.59801560613191,84444.6648,445628.9314,Betje Wolfflaan 26,1,1966
0503100000015408,10459771.628011111,0.0012838415187819948,6.6643929842339436,84423.906,445636.44859999995,Betje Wolfflaan 20,1,1966
0503100000015409,10037779.701322164,0.0012320458605839493,6.395522865875162,84378.7672,445635.96099999995,Betje Wolfflaan 4,1,1966
0503100000015410,11438685.493022066,0.0014039942628291788,7.288103226308209,84394.2458,445574.684,Nicolaas Beetslaan 20,1,1966
0503100000015412,11949896.822398841,0.00146674078855332,7.613819056263409,84383.6184,445637.5666,Betje Wolfflaan 6,1,1966
0503100000015413,11293865.821934601,0.0013862189697261694,7.195832072185709,84388.47,445639.17199999996,Betje Wolfflaan 8,1,1966
0503100000015414,13194769.730062697,0.0016195375781300366,8.406983818090568,84434.571,445639.6785714286,Betje Wolfflaan 24,1,1966
0503100000015415,11298837.608432893,0.0013868292111497902,7.198999821945138,84382.8302,445570.37460000004,Nicolaas Beetslaan 16,1,1966
0503100000015416,10461177.711547881,0.001284014102705199,6.665288863569646,84419.0534,445634.84280000004,Betje Wolfflaan 18,1,1966
