techs,carrier_out,carrier_in
LVEtransmission854_to_LVEtransmission691_electricity,1,1
LVEtransmission691_to_LVEtransmission407_electricity,1,1
LVEtransmission407_to_LVEtransmission367_electricity,1,1
LVEtransmission367_to_LVEtransmission57_electricity,1,1
LVEtransmission57_to_LVEtransmission161_electricity,1,1
LVEtransmission161_to_LVEtransmission828_electricity,1,1
LVEtransmission828_to_LVEtransmission480_electricity,1,1
LVEtransmission480_to_LVEtransmission98_electricity,1,1
LVEtransmission98_to_LVEtransmission157_electricity,1,1
LVEtransmission157_to_LVEtransmission195_electricity,1,1
LVEtransmission195_to_LVEtransmission810_electricity,1,1
LVEtransmission810_to_LVEtransmission495_electricity,1,1
LVEtransmission495_to_LVEtransmission761_electricity,1,1
LVEtransmission761_to_LVEtransmission383_electricity,1,1
LVEtransmission383_to_LVEtransmission172_electricity,1,1
LVEtransmission172_to_LVEtransmission408_electricity,1,1
LVEtransmission408_to_LVEtransmission75_electricity,1,1
LVEtransmission75_to_LVEtransmission254_electricity,1,1
LVEtransmission254_to_LVEtransmission83_electricity,1,1
LVEtransmission83_to_LVEtransmission487_electricity,1,1
LVEtransmission487_to_LVEtransmission384_electricity,1,1
LVEtransmission384_to_LVEtransmission806_electricity,1,1
LVEtransmission806_to_LVEtransmission136_electricity,1,1
LVEtransmission136_to_LVEtransmission886_electricity,1,1
LVEtransmission886_to_LVEtransmission168_electricity,1,1
LVEtransmission168_to_LVEtransmission192_electricity,1,1
LVEtransmission192_to_LVEtransmission490_electricity,1,1
LVEtransmission490_to_LVEtransmission376_electricity,1,1
LVEtransmission376_to_LVEtransmission573_electricity,1,1
LVEtransmission573_to_LVEtransmission885_electricity,1,1
LVEtransmission885_to_LVEtransmission779_electricity,1,1
LVEtransmission779_to_LVEtransmission692_electricity,1,1
LVEtransmission692_to_LVEtransmission905_electricity,1,1
LVEtransmission614_to_LVEtransmission468_electricity,1,1
LVEtransmission468_to_LVEtransmission235_electricity,1,1
LVEtransmission235_to_LVEtransmission801_electricity,1,1
LVEtransmission801_to_LVEtransmission37_electricity,1,1
LVEtransmission37_to_LVEtransmission337_electricity,1,1
LVEtransmission337_to_LVEtransmission290_electricity,1,1
LVEtransmission290_to_LVEtransmission241_electricity,1,1
LVEtransmission241_to_LVEtransmission669_electricity,1,1
LVEtransmission669_to_LVEtransmission630_electricity,1,1
LVEtransmission630_to_LVEtransmission911_electricity,1,1
LVEtransmission911_to_LVEtransmission878_electricity,1,1
LVEtransmission878_to_LVEtransmission257_electricity,1,1
LVEtransmission257_to_LVEtransmission221_electricity,1,1
