techs,carrier_out,carrier_in
LQHtransmission638_to_LQHtransmission615_heat,1,1
LQHtransmission615_to_LQHtransmission453_heat,1,1
LQHtransmission453_to_LQHtransmission471_heat,1,1
LQHtransmission471_to_LQHtransmission311_heat,1,1
LQHtransmission311_to_LQHtransmission458_heat,1,1
LQHtransmission458_to_LQHtransmission147_heat,1,1
LQHtransmission147_to_LQHtransmission249_heat,1,1
LQHtransmission249_to_LQHtransmission791_heat,1,1
LQHtransmission791_to_LQHtransmission744_heat,1,1
LQHtransmission744_to_LQHtransmission741_heat,1,1
LQHtransmission741_to_LQHtransmission850_heat,1,1
LQHtransmission850_to_LQHtransmission247_heat,1,1
LQHtransmission247_to_LQHtransmission571_heat,1,1
LQHtransmission571_to_LQHtransmission556_heat,1,1
LQHtransmission556_to_LQHtransmission525_heat,1,1
